asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/1100s-10716-80/config.json
asn=0    	id=-1  	Main	initializing 3600 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=14.45 y=-38.01
asn=0    	id=2   	Main	Set position x=52.66 y=-19.46
asn=0    	id=3   	Main	Set position x=-10.63 y=-27.11
asn=0    	id=4   	Main	Set position x=116.48 y=-41.10
asn=0    	id=5   	Main	Set position x=5.21 y=12.87
asn=0    	id=6   	Main	Set position x=-4.67 y=-77.61
asn=0    	id=7   	Main	Set position x=-55.52 y=82.25
asn=0    	id=8   	Main	Set position x=0.23 y=-39.26
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=5600 	id=-1  	Main	60 seconds, progress 1.67%
asn=5600 	id=-1  	Main	periodic route processing for all nodes
asn=11199	id=-1  	Main	120 seconds, progress 3.33%
asn=11199	id=-1  	Main	periodic route processing for all nodes
asn=16798	id=-1  	Main	180 seconds, progress 5.00%
asn=16798	id=-1  	Main	periodic route processing for all nodes
asn=22397	id=-1  	Main	240 seconds, progress 6.67%
asn=22397	id=-1  	Main	periodic route processing for all nodes
asn=27996	id=-1  	Main	300 seconds, progress 8.33%
asn=27996	id=-1  	Main	periodic route processing for all nodes
asn=33595	id=-1  	Main	360 seconds, progress 10.00%
asn=33595	id=-1  	Main	periodic route processing for all nodes
asn=39194	id=-1  	Main	420 seconds, progress 11.67%
asn=39194	id=-1  	Main	periodic route processing for all nodes
asn=44793	id=-1  	Main	480 seconds, progress 13.33%
asn=44793	id=-1  	Main	periodic route processing for all nodes
asn=50392	id=-1  	Main	540 seconds, progress 15.00%
asn=50392	id=-1  	Main	periodic route processing for all nodes
asn=55992	id=-1  	Main	600 seconds, progress 16.67%
asn=55992	id=-1  	Main	periodic route processing for all nodes
asn=61591	id=-1  	Main	660 seconds, progress 18.33%
asn=61591	id=-1  	Main	periodic route processing for all nodes
asn=162233	id=-1  	Main	1738 seconds, progress 48.29%
asn=162233	id=-1  	Main	periodic route processing for all nodes
asn=162233	id=-1  	Main	periodic neighbor processing for all nodes
asn=162234	id=-1  	Main	1738 seconds, progress 48.29%
asn=162234	id=-1  	Main	periodic route processing for all nodes
asn=162235	id=-1  	Main	1738 seconds, progress 48.29%
asn=162235	id=-1  	Main	periodic route processing for all nodes
asn=162236	id=-1  	Main	1738 seconds, progress 48.29%
asn=162236	id=-1  	Main	periodic route processing for all nodes
asn=162237	id=-1  	Main	1738 seconds, progress 48.29%
asn=162237	id=-1  	Main	periodic route processing for all nodes
asn=162238	id=-1  	Main	1738 seconds, progress 48.29%
asn=162238	id=-1  	Main	periodic route processing for all nodes
asn=162239	id=-1  	Main	1738 seconds, progress 48.29%
asn=162239	id=-1  	Main	periodic route processing for all nodes
asn=162240	id=-1  	Main	1738 seconds, progress 48.29%
asn=162240	id=-1  	Main	periodic route processing for all nodes
asn=162241	id=-1  	Main	1738 seconds, progress 48.29%
asn=162241	id=-1  	Main	periodic route processing for all nodes
asn=162242	id=-1  	Main	1738 seconds, progress 48.29%
asn=162242	id=-1  	Main	periodic route processing for all nodes
asn=162243	id=-1  	Main	1738 seconds, progress 48.29%
asn=162243	id=-1  	Main	periodic route processing for all nodes
asn=162244	id=-1  	Main	1738 seconds, progress 48.29%
asn=162244	id=-1  	Main	periodic route processing for all nodes
asn=162245	id=-1  	Main	1738 seconds, progress 48.29%
asn=162245	id=-1  	Main	periodic route processing for all nodes
asn=162246	id=-1  	Main	1738 seconds, progress 48.30%
asn=162246	id=-1  	Main	periodic route processing for all nodes
asn=162247	id=-1  	Main	1738 seconds, progress 48.30%
asn=162247	id=-1  	Main	periodic route processing for all nodes
asn=162248	id=-1  	Main	1738 seconds, progress 48.30%
asn=162248	id=-1  	Main	periodic route processing for all nodes
asn=162249	id=-1  	Main	1738 seconds, progress 48.30%
asn=162249	id=-1  	Main	periodic route processing for all nodes
asn=162375	id=-1  	Main	1740 seconds, progress 48.33%
asn=162375	id=-1  	Main	periodic route processing for all nodes
asn=167974	id=-1  	Main	1800 seconds, progress 50.00%
asn=167974	id=-1  	Main	periodic route processing for all nodes
asn=167974	id=-1  	Main	periodic neighbor processing for all nodes
asn=173573	id=-1  	Main	1860 seconds, progress 51.67%
asn=173573	id=-1  	Main	periodic route processing for all nodes
asn=179172	id=-1  	Main	1920 seconds, progress 53.33%
asn=179172	id=-1  	Main	periodic route processing for all nodes
asn=184771	id=-1  	Main	1980 seconds, progress 55.00%
asn=184771	id=-1  	Main	periodic route processing for all nodes
asn=190370	id=-1  	Main	2040 seconds, progress 56.67%
asn=190370	id=-1  	Main	periodic route processing for all nodes
asn=195969	id=-1  	Main	2100 seconds, progress 58.33%
asn=195969	id=-1  	Main	periodic route processing for all nodes
asn=201568	id=-1  	Main	2160 seconds, progress 60.00%
asn=201568	id=-1  	Main	periodic route processing for all nodes
