asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/1100s-10716-78/config.json
asn=0    	id=-1  	Main	initializing 3600 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=-4.58 y=86.27
asn=0    	id=2   	Main	Set position x=-70.17 y=16.16
asn=0    	id=3   	Main	Set position x=-19.66 y=48.45
asn=0    	id=4   	Main	Set position x=-31.64 y=50.38
asn=0    	id=5   	Main	Set position x=-16.27 y=30.52
asn=0    	id=6   	Main	Set position x=15.25 y=13.56
asn=0    	id=7   	Main	Set position x=-153.57 y=148.01
asn=0    	id=8   	Main	Set position x=26.18 y=-26.38
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=5600 	id=-1  	Main	60 seconds, progress 1.67%
asn=5600 	id=-1  	Main	periodic route processing for all nodes
asn=11199	id=-1  	Main	120 seconds, progress 3.33%
asn=11199	id=-1  	Main	periodic route processing for all nodes
asn=16798	id=-1  	Main	180 seconds, progress 5.00%
asn=16798	id=-1  	Main	periodic route processing for all nodes
asn=22397	id=-1  	Main	240 seconds, progress 6.67%
asn=22397	id=-1  	Main	periodic route processing for all nodes
asn=27996	id=-1  	Main	300 seconds, progress 8.33%
asn=27996	id=-1  	Main	periodic route processing for all nodes
asn=33595	id=-1  	Main	360 seconds, progress 10.00%
asn=33595	id=-1  	Main	periodic route processing for all nodes
asn=39194	id=-1  	Main	420 seconds, progress 11.67%
asn=39194	id=-1  	Main	periodic route processing for all nodes
asn=44793	id=-1  	Main	480 seconds, progress 13.33%
asn=44793	id=-1  	Main	periodic route processing for all nodes
asn=50392	id=-1  	Main	540 seconds, progress 15.00%
asn=50392	id=-1  	Main	periodic route processing for all nodes
asn=55992	id=-1  	Main	600 seconds, progress 16.67%
asn=55992	id=-1  	Main	periodic route processing for all nodes
asn=61591	id=-1  	Main	660 seconds, progress 18.33%
asn=61591	id=-1  	Main	periodic route processing for all nodes
asn=159867	id=-1  	Main	1713 seconds, progress 47.59%
asn=159867	id=-1  	Main	periodic route processing for all nodes
asn=159867	id=-1  	Main	periodic neighbor processing for all nodes
asn=159868	id=-1  	Main	1713 seconds, progress 47.59%
asn=159868	id=-1  	Main	periodic route processing for all nodes
asn=159869	id=-1  	Main	1713 seconds, progress 47.59%
asn=159869	id=-1  	Main	periodic route processing for all nodes
asn=159870	id=-1  	Main	1713 seconds, progress 47.59%
asn=159870	id=-1  	Main	periodic route processing for all nodes
asn=159871	id=-1  	Main	1713 seconds, progress 47.59%
asn=159871	id=-1  	Main	periodic route processing for all nodes
asn=159872	id=-1  	Main	1713 seconds, progress 47.59%
asn=159872	id=-1  	Main	periodic route processing for all nodes
asn=159873	id=-1  	Main	1713 seconds, progress 47.59%
asn=159873	id=-1  	Main	periodic route processing for all nodes
asn=159874	id=-1  	Main	1713 seconds, progress 47.59%
asn=159874	id=-1  	Main	periodic route processing for all nodes
asn=159875	id=-1  	Main	1713 seconds, progress 47.59%
asn=159875	id=-1  	Main	periodic route processing for all nodes
asn=159876	id=-1  	Main	1713 seconds, progress 47.59%
asn=159876	id=-1  	Main	periodic route processing for all nodes
asn=159877	id=-1  	Main	1713 seconds, progress 47.59%
asn=159877	id=-1  	Main	periodic route processing for all nodes
asn=159878	id=-1  	Main	1713 seconds, progress 47.59%
asn=159878	id=-1  	Main	periodic route processing for all nodes
asn=159879	id=-1  	Main	1713 seconds, progress 47.59%
asn=159879	id=-1  	Main	periodic route processing for all nodes
asn=159880	id=-1  	Main	1713 seconds, progress 47.59%
asn=159880	id=-1  	Main	periodic route processing for all nodes
asn=159881	id=-1  	Main	1713 seconds, progress 47.59%
asn=159881	id=-1  	Main	periodic route processing for all nodes
asn=159882	id=-1  	Main	1713 seconds, progress 47.59%
asn=159882	id=-1  	Main	periodic route processing for all nodes
asn=159883	id=-1  	Main	1713 seconds, progress 47.59%
asn=159883	id=-1  	Main	periodic route processing for all nodes
asn=162375	id=-1  	Main	1740 seconds, progress 48.33%
asn=162375	id=-1  	Main	periodic route processing for all nodes
asn=167974	id=-1  	Main	1800 seconds, progress 50.00%
asn=167974	id=-1  	Main	periodic route processing for all nodes
asn=167974	id=-1  	Main	periodic neighbor processing for all nodes
asn=173573	id=-1  	Main	1860 seconds, progress 51.67%
asn=173573	id=-1  	Main	periodic route processing for all nodes
asn=179172	id=-1  	Main	1920 seconds, progress 53.33%
asn=179172	id=-1  	Main	periodic route processing for all nodes
asn=184771	id=-1  	Main	1980 seconds, progress 55.00%
asn=184771	id=-1  	Main	periodic route processing for all nodes
asn=190370	id=-1  	Main	2040 seconds, progress 56.67%
asn=190370	id=-1  	Main	periodic route processing for all nodes
asn=195969	id=-1  	Main	2100 seconds, progress 58.33%
asn=195969	id=-1  	Main	periodic route processing for all nodes
asn=201568	id=-1  	Main	2160 seconds, progress 60.00%
asn=201568	id=-1  	Main	periodic route processing for all nodes
